state,year,oberate,unerate,pcspend,fastfood,bachelors,pop,income
Oregon,2014,27.9,6.7,35437,2767,30.8,3965.447,71220
Pennsylvania,2014,30.2,5.9,39200,8910,29,12792.392,66740
Rhode Island,2014,27,7.8,38081,821,30.4,1056.511,70920
South Carolina,2014,32.1,6.3,33050,3411,26.3,4826.858,54350
South Dakota,2014,29.8,3.3,35484,521,27.8,849.67,64170
Tennessee,2014,31.2,6.6,32483,4645,25.3,6544.617,52880
Texas,2014,31.9,5.2,35204,18804,27.8,26963.092,65170
Utah,2014,25.7,3.6,30720,2138,31.1,2938.327,76670
Vermont,2014,24.8,4.0,42775,397,34.9,625.693,73430
Virginia,2014,28.5,5.1,38807,6248,36.7,8315.43,80020
Washington,2014,27.3,5.9,39582,4828,33.1,7057.531,71450
West Virginia,2014,35.7,6.5,32156,1261,19.2,1850.569,47840
Wisconsin,2014,31.2,5.3,35815,3534,28.4,5753.199,70250
Wyoming,2014,29.5,4.3,39564,391,26.6,583.159,67360
Alabama,2015,35.6,6.1,31130,3668,24.2,4854.803,53880
Alaska,2015,29.8,6.3,45018,420,29.7,738.43,90920
Arizona,2015,28.4,6.1,34963,4443,27.7,6832.81,63250
Arkansas,2015,34.5,5.0,30759,1979,21.8,2979.732,51810
California,2015,24.2,6.3,40952,29306,32.3,38904.296,77030
Colorado,2015,20.2,3.7,40878,4011,39.2,5454.328,80610
Connecticut,2015,25.3,5.6,46696,2487,38.3,3588.561,88230
Delaware,2015,29.7,4.8,41892,646,30.9,942.065,69910
District of Columbia,2015,22.1,6.9,63388,847,56.7,677.014,84820
Florida,2015,26.8,5.5,39913,12475,28.4,20219.111,59100
Georgia,2015,30.7,6.1,34034,7747,29.9,10183.353,61450
Hawaii,2015,22.7,3.4,39543,1262,31.4,1422.999,78090
Idaho,2015,28.6,3.9,30573,1064,26,1652.495,62490
Illinois,2015,30.8,6.0,39175,9965,32.9,12859.585,73130
Indiana,2015,31.3,4.8,33611,4722,24.9,6611.442,62930
Iowa,2015,32.1,3.7,34610,1925,26.8,3122.541,73660
Kansas,2015,34.2,4.2,34839,2036,31.7,2910.717,66410
Kentucky,2015,34.6,5.2,32339,3165,23.3,4429.126,51310
Louisiana,2015,36.2,6.3,33707,3287,23.2,4666.998,55590
Maine,2015,30,4.4,39645,954,30.1,1329.098,61440
Maryland,2015,28.9,5.0,41324,5000,38.8,5988.528,89090
Massachusetts,2015,24.3,4.8,47725,5105,41.5,6797.484,82150
Michigan,2015,31.2,5.4,36755,6813,27.8,9934.483,65610
Minnesota,2015,26.1,3.8,41017,3493,34.7,5484.002,83200
Mississippi,2015,35.6,6.5,29488,2173,20.8,2990.231,48460
Missouri,2015,32.4,5.1,36446,4153,27.8,6075.411,71660
Montana,2015,23.6,4.3,38021,690,30.6,1031.495,62210
Nebraska,2015,31.4,3.0,36886,1356,30.2,1892.059,73200
Nevada,2015,26.7,6.8,36284,2343,23.6,2868.531,62960
New Hampshire,2015,26.3,3.4,45941,1025,35.7,1337.48,91600
New Jersey,2015,25.6,5.7,44533,6711,37.6,8870.312,82750
New Mexico,2015,28.8,6.6,32292,1458,26.5,2090.071,54620
New York,2015,25,5.2,42749,16922,35,19657.321,70210
North Carolina,2015,30.1,5.7,34154,7534,29.4,10037.218,61490
North Dakota,2015,31,2.8,43358,457,29.1,755.537,69500
Ohio,2015,29.8,5.0,35898,9117,26.8,11622.315,64520
Oklahoma,2015,33.9,4.3,31787,2752,24.6,3910.518,56990
Oregon,2015,30.1,5.5,36853,2870,32.2,4018.542,73640
Pennsylvania,2015,30,5.4,40187,9049,29.7,12789.838,73100
Rhode Island,2015,26,6.0,39037,837,32.7,1056.886,67430
South Carolina,2015,31.7,5.9,33927,3453,26.8,4896.006,56120
South Dakota,2015,30.4,3.0,36505,553,27.5,854.663,66660
Tennessee,2015,33.8,5.6,33227,4767,25.7,6595.354,57290
Texas,2015,32.4,4.5,36040,19385,28.4,27468.531,68360
Utah,2015,24.5,3.5,31671,2251,31.8,2983.626,80200
Vermont,2015,25.1,3.5,43236,398,36.9,625.81,72020
Virginia,2015,29.2,4.4,39389,6303,37,8367.303,74430
Washington,2015,26.4,5.4,40656,4824,34.2,7167.287,81400
West Virginia,2015,35.6,6.6,33121,1214,19.6,1843.332,51840
Wisconsin,2015,30.7,4.4,36631,3580,28.4,5762.927,67090
Wyoming,2015,29,4.2,39653,397,26.2,586.389,73750
Alabama,2016,35.7,5.9,32005,3822,24.7,4866.824,56660
Alaska,2016,31.4,6.6,45703,421,29.6,742.575,90860
Arizona,2016,29,5.5,35827,4585,28.9,6944.767,68510
Arkansas,2016,35.7,4.0,31828,2014,22.4,2991.815,55080
California,2016,25,5.5,42472,29995,32.9,39149.186,79960
Colorado,2016,22.3,3.1,42285,4098,39.9,5543.844,84670
Connecticut,2016,26,4.8,47588,2535,38.6,3579.83,91100
Delaware,2016,30.7,4.5,42563,665,31,949.989,69650
District of Columbia,2016,22.6,6.2,64561,877,56.8,687.576,85170
Florida,2016,27.4,4.9,40682,12793,28.6,20627.237,61400
Georgia,2016,31.4,5.4,35012,8050,30.5,10308.442,64230
Hawaii,2016,23.8,2.9,40231,1286,31.9,1428.885,86550
Idaho,2016,27.4,3.7,31610,1083,27.6,1684.036,67870
Illinois,2016,31.6,5.9,40351,10145,34,12821.709,73650
Indiana,2016,32.5,4.4,34627,4812,25.6,6637.898,67310
Iowa,2016,32,3.6,35631,1990,28.4,3133.21,70900
Kansas,2016,31.2,4.0,35643,2058,32.8,2912.977,68160
